"B19013_001E","enrollment","FourYrDrop_Campus","FourYrGrad_Campus","CollegeReady_Math_Campus","CollegeReady_Reading_Campus","Attendance_All","Year","CNTYNAME","NAME"
40378,317.571428571429,0.021,0.940428571428571,0.705714285714286,0.672857142857143,0.952285714285714,2010,"ANDERSON","Anderson County, Texas"
40577,313.285714285714,0.0152857142857143,0.965571428571429,0.762857142857143,0.618571428571429,0.955428571428571,2011,"ANDERSON","Anderson County, Texas"
41471,327.142857142857,0.022,0.950142857142857,0.632857142857143,0.74,0.959857142857143,2012,"ANDERSON","Anderson County, Texas"
40653,319.142857142857,0.0361428571428571,0.941428571428571,0.622857142857143,0.64,0.957857142857143,2013,"ANDERSON","Anderson County, Texas"
42511,334.857142857143,0.0122857142857143,0.950428571428571,0.274285714285714,0.284285714285714,0.959857142857143,2014,"ANDERSON","Anderson County, Texas"
41327,338,0.0161428571428571,0.931714285714286,0.416428571428571,0.436857142857143,0.956285714285714,2015,"ANDERSON","Anderson County, Texas"
42146,349.285714285714,0.012,0.957857142857143,0.523571428571429,0.398714285714286,0.959857142857143,2016,"ANDERSON","Anderson County, Texas"
42313,344.142857142857,0.00585714285714286,0.978571428571429,0.626142857142857,0.498142857142857,0.959571428571429,2017,"ANDERSON","Anderson County, Texas"
43355,343.857142857143,0.0128571428571429,0.972,0.530142857142857,0.412571428571429,0.958428571428571,2018,"ANDERSON","Anderson County, Texas"
43455,348.285714285714,0.0324285714285714,0.835571428571429,0.6028,0.3798,0.954,2019,"ANDERSON","Anderson County, Texas"
48699,439.5,0.0385,0.4445,0.535,0.275,0.9055,2010,"ANDREWS","Andrews County, Texas"
51598,453.5,0.0275,0.7765,0.355,0.22,0.9005,2011,"ANDREWS","Andrews County, Texas"
55327,469.5,0.095,0.867,0.43,0.545,0.9385,2012,"ANDREWS","Andrews County, Texas"
57825,494,0.1305,0.8445,0.585,0.575,0.937,2013,"ANDREWS","Andrews County, Texas"
61250,517,0.1125,0.8565,0.155,0.165,0.9435,2014,"ANDREWS","Andrews County, Texas"
70423,524.5,0.044,0.882,0.4715,0.4595,0.9475,2015,"ANDREWS","Andrews County, Texas"
70121,514.5,0.0285,0.925,0.2485,0.256,0.9475,2016,"ANDREWS","Andrews County, Texas"
70753,549.5,0.0645,0.9,0.3005,0.233,0.9425,2017,"ANDREWS","Andrews County, Texas"
74233,591.5,0.0285,0.8815,0.4325,0.2045,0.9415,2018,"ANDREWS","Andrews County, Texas"
76158,604.5,0.078,0.7755,0.307,0.2135,0.9295,2019,"ANDREWS","Andrews County, Texas"
39148,350.153846153846,0.0951818181818182,0.685,0.346,0.336,0.661076923076923,2010,"ANGELINA","Angelina County, Texas"
39325,350.153846153846,0.0949090909090909,0.728454545454545,0.57875,0.435,0.654769230769231,2011,"ANGELINA","Angelina County, Texas"
40150,356.230769230769,0.100636363636364,0.729818181818182,0.572727272727273,0.620909090909091,0.796,2012,"ANGELINA","Angelina County, Texas"
41354,394.166666666667,0.1214,0.8037,0.462727272727273,0.528181818181818,0.789083333333333,2013,"ANGELINA","Angelina County, Texas"
42374,363.923076923077,0.0784545454545455,0.777,0.246666666666667,0.238888888888889,0.623923076923077,2014,"ANGELINA","Angelina County, Texas"
44223,368.230769230769,0.0939090909090909,0.868363636363636,0.336363636363636,0.285727272727273,0.811384615384615,2015,"ANGELINA","Angelina County, Texas"
44185,372.307692307692,0.0781666666666667,0.783833333333333,0.359818181818182,0.270454545454545,0.763307692307692,2016,"ANGELINA","Angelina County, Texas"
46472,426.818181818182,0.06625,0.757583333333333,0.397636363636364,0.272818181818182,0.788307692307692,2017,"ANGELINA","Angelina County, Texas"
47714,393,0.0879166666666667,0.693833333333333,0.447818181818182,0.338454545454545,0.784692307692308,2018,"ANGELINA","Angelina County, Texas"
50453,390.166666666667,0.0826666666666667,0.776416666666667,0.476272727272727,0.331909090909091,0.781583333333333,2019,"ANGELINA","Angelina County, Texas"
42179,942,0.047,0.895,0.62,0.6,0.937,2010,"ARANSAS","Aransas County, Texas"
44129,921,0.057,0.87,0.68,0.57,0.938,2011,"ARANSAS","Aransas County, Texas"
44769,907,0.049,0.884,0.59,0.68,0.94,2012,"ARANSAS","Aransas County, Texas"
42476,924,0.055,0.896,0.66,0.59,0.943,2013,"ARANSAS","Aransas County, Texas"
42247,940,0.035,0.926,0.53,0.41,0.936,2014,"ARANSAS","Aransas County, Texas"
41690,999,0.045,0.914,0.667,0.483,0.949,2015,"ARANSAS","Aransas County, Texas"
44851,987,0.051,0.87,0.415,0.304,0.943,2016,"ARANSAS","Aransas County, Texas"
44601,781,0.065,0.887,0.652,0.338,0.943,2017,"ARANSAS","Aransas County, Texas"
44865,858,0.04,0.934,0.502,0.29,0.919,2018,"ARANSAS","Aransas County, Texas"
45137,875,0.031,0.91,0.447,0.29,0.943,2019,"ARANSAS","Aransas County, Texas"
50891,212.5,0,0.9625,0.79,0.695,0.9665,2010,"ARCHER","Archer County, Texas"
53113,214,0,1,0.875,0.71,0.969,2011,"ARCHER","Archer County, Texas"
56250,215,0,0.957,0.74,0.86,0.9675,2012,"ARCHER","Archer County, Texas"
56452,219,0.0155,0.962,0.75,0.83,0.965,2013,"ARCHER","Archer County, Texas"
58274,213.5,0.0125,0.9725,0.58,0.525,0.9695,2014,"ARCHER","Archer County, Texas"
60275,223.5,0,0.975,0.635,0.5245,0.972,2015,"ARCHER","Archer County, Texas"
62407,228.5,0.011,0.989,0.611,0.518,0.971,2016,"ARCHER","Archer County, Texas"
63192,223,0,1,0.6145,0.446,0.978,2017,"ARCHER","Archer County, Texas"
64476,227,0.0075,0.9925,0.7485,0.5555,0.973,2018,"ARCHER","Archer County, Texas"
63835,221.5,0,0.9935,0.7395,0.6115,0.971,2019,"ARCHER","Archer County, Texas"
42927,268.777777777778,0.177833333333333,0.740666666666667,0.455,0.575,0.894375,2010,"ATASCOSA","Atascosa County, Texas"
43261,312.125,0.0581666666666667,0.855,0.562,0.654,0.77775,2011,"ATASCOSA","Atascosa County, Texas"
45702,320,0.0746666666666667,0.8385,0.691666666666667,0.595,0.878,2012,"ATASCOSA","Atascosa County, Texas"
47543,287.333333333333,0.0651666666666667,0.908666666666667,0.681666666666667,0.471666666666667,0.690555555555556,2013,"ATASCOSA","Atascosa County, Texas"
50756,291.333333333333,0.0446666666666667,0.897666666666667,0.223333333333333,0.181666666666667,0.799444444444444,2014,"ATASCOSA","Atascosa County, Texas"
52192,286.666666666667,0.0288333333333333,0.9045,0.384333333333333,0.2805,0.700333333333333,2015,"ATASCOSA","Atascosa County, Texas"
53181,254.2,0.0433333333333333,0.925,0.409,0.262833333333333,0.610111111111111,2016,"ATASCOSA","Atascosa County, Texas"
55194,284,0.0376666666666667,0.898,0.505666666666667,0.3365,0.78825,2017,"ATASCOSA","Atascosa County, Texas"
55265,254.9,0.0225,0.935333333333333,0.465,0.401833333333333,0.800111111111111,2018,"ATASCOSA","Atascosa County, Texas"
55366,251.9,0.0431666666666667,0.931833333333333,0.391333333333333,0.354333333333333,0.791555555555556,2019,"ATASCOSA","Atascosa County, Texas"
53263,561.666666666667,0.0386666666666667,0.928333333333333,0.743333333333333,0.726666666666667,0.951666666666667,2010,"AUSTIN","Austin County, Texas"
52510,561,0.0216666666666667,0.955333333333333,0.77,0.62,0.952666666666667,2011,"AUSTIN","Austin County, Texas"
51340,546,0.0453333333333333,0.938,0.64,0.756666666666667,0.956333333333333,2012,"AUSTIN","Austin County, Texas"
53265,545,0.0246666666666667,0.948666666666667,0.706666666666667,0.68,0.952666666666667,2013,"AUSTIN","Austin County, Texas"
54603,570.333333333333,0.0233333333333333,0.948,0.47,0.416666666666667,0.951333333333333,2014,"AUSTIN","Austin County, Texas"
53687,580.666666666667,0.0303333333333333,0.952333333333333,0.545333333333333,0.502,0.955,2015,"AUSTIN","Austin County, Texas"
56681,592.666666666667,0.0346666666666667,0.956333333333333,0.523,0.36,0.957666666666667,2016,"AUSTIN","Austin County, Texas"
62614,593.333333333333,0.0183333333333333,0.957666666666667,0.561333333333333,0.478,0.956666666666667,2017,"AUSTIN","Austin County, Texas"
65365,578.333333333333,0.0236666666666667,0.964333333333333,0.620666666666667,0.567666666666667,0.954666666666667,2018,"AUSTIN","Austin County, Texas"
66206,587.666666666667,0.0396666666666667,0.930666666666667,0.609,0.495,0.957666666666667,2019,"AUSTIN","Austin County, Texas"
42375,178,0.0785,0.907,0.72,0.49,0.847,2010,"BAILEY","Bailey County, Texas"
41106,174.5,0.0455,0.9085,0.38,0.285,0.8305,2011,"BAILEY","Bailey County, Texas"
41075,181.5,-0.005,0.4745,0.45,0.535,0.9085,2012,"BAILEY","Bailey County, Texas"
46139,175.5,0,1,0.545,0.59,0.898,2013,"BAILEY","Bailey County, Texas"
41982,181.5,0,1,0.22,0.23,0.909,2014,"BAILEY","Bailey County, Texas"
37397,188,0.1665,0.6665,0.13,0.146,0.854,2015,"BAILEY","Bailey County, Texas"
40589,186.5,0,0.9445,0.2065,0.2065,0.91,2016,"BAILEY","Bailey County, Texas"
43523,188.5,0,1,0.489,0.4535,0.916,2017,"BAILEY","Bailey County, Texas"
46485,181.5,0,0.883,0.5125,0.529,0.8855,2018,"BAILEY","Bailey County, Texas"
52273,175.5,0,1,1,0.96,0.949,2019,"BAILEY","Bailey County, Texas"
44352,789,0.061,0.872,0.74,0.58,0.935,2010,"BANDERA","Bandera County, Texas"
45595,751,0.036,0.9,0.8,0.57,0.94,2011,"BANDERA","Bandera County, Texas"
47927,767,0.038,0.897,0.69,0.85,0.947,2012,"BANDERA","Bandera County, Texas"
49215,725,0.046,0.928,0.68,0.74,0.94,2013,"BANDERA","Bandera County, Texas"
48587,678,0.029,0.936,0.49,0.5,0.945,2014,"BANDERA","Bandera County, Texas"
49863,673,0.02,0.973,0.589,0.559,0.948,2015,"BANDERA","Bandera County, Texas"
55434,673,0.05,0.939,0.57,0.423,0.946,2016,"BANDERA","Bandera County, Texas"
56413,655,0.043,0.915,0.592,0.469,0.948,2017,"BANDERA","Bandera County, Texas"
53683,640,0.079,0.886,0.659,0.519,0.941,2018,"BANDERA","Bandera County, Texas"
58661,647,0.072,0.899,0.518,0.388,0.938,2019,"BANDERA","Bandera County, Texas"
51829,684.166666666667,0.04925,0.75425,0.43,0.522,0.8936,2010,"BASTROP","Bastrop County, Texas"
52882,696,0.098,0.6664,0.51,0.44,0.918333333333333,2011,"BASTROP","Bastrop County, Texas"
52516,732,0.0788,0.7884,0.475,0.543333333333333,0.910666666666667,2012,"BASTROP","Bastrop County, Texas"
51750,748,0.0476,0.7958,0.483333333333333,0.513333333333333,0.903666666666667,2013,"BASTROP","Bastrop County, Texas"
53382,662.142857142857,0.0698333333333333,0.777333333333333,0.33,0.258333333333333,0.898666666666667,2014,"BASTROP","Bastrop County, Texas"
54821,688.857142857143,0.0386666666666667,0.847166666666667,0.376333333333333,0.284833333333333,0.805857142857143,2015,"BASTROP","Bastrop County, Texas"
55808,694,0.0431666666666667,0.824166666666667,0.367666666666667,0.292833333333333,0.810571428571428,2016,"BASTROP","Bastrop County, Texas"
59185,730.428571428571,0.0478333333333333,0.850666666666667,0.504,0.437142857142857,0.938,2017,"BASTROP","Bastrop County, Texas"
62941,748.142857142857,0.0485,0.879666666666667,0.574285714285714,0.55,0.788,2018,"BASTROP","Bastrop County, Texas"
64597,757.571428571429,0.0448333333333333,0.865833333333333,0.522142857142857,0.450428571428571,0.786857142857143,2019,"BASTROP","Bastrop County, Texas"
33459,143,0.021,0.979,0.83,0.78,0.963,2010,"BAYLOR","Baylor County, Texas"
37159,154,0,1,0.74,0.6,0.965,2011,"BAYLOR","Baylor County, Texas"
34688,145,0,0.972,0.68,0.74,0.958,2012,"BAYLOR","Baylor County, Texas"
33445,155,0,0.973,0.69,0.67,0.959,2013,"BAYLOR","Baylor County, Texas"
33019,161,0,1,0.55,0.52,0.965,2014,"BAYLOR","Baylor County, Texas"
36373,167,0.028,0.972,0.72,0.577,0.955,2015,"BAYLOR","Baylor County, Texas"
34382,168,0,0.95,0.271,0.333,0.95,2016,"BAYLOR","Baylor County, Texas"
36157,162,0.021,0.979,0.639,0.528,0.95,2017,"BAYLOR","Baylor County, Texas"
40750,152,0.027,0.973,0.6,0.429,0.953,2018,"BAYLOR","Baylor County, Texas"
40739,160,0.053,0.947,0.676,0.649,0.953,2019,"BAYLOR","Baylor County, Texas"
40278,439.666666666667,0.0393333333333333,0.864666666666667,0.695,0.755,0.941,2010,"BEE","Bee County, Texas"
39247,632,0.0335,0.8985,0.745,0.565,0.944,2011,"BEE","Bee County, Texas"
40707,642.5,0.023,0.899,0.61,0.74,0.937,2012,"BEE","Bee County, Texas"
